0,	0,	0,	-8,	2,	
1,	0,	0,	0,	-7,	
2,	0,	0,	8,	2,	
3,	0,	0,	-3,	7,	
4,	0,	0,	-5,	-5,	
5,	0,	-1,	7,	-4,	
6,	-1,	0,	3,	7,	
7,	0,	0,	-7,	1,	
8,	0,	0,	2,	-7,	
9,	0,	0,	7,	3,	
10,	0,	-1,	-5,	6,	
11,	0,	0,	-5,	-6,	
12,	0,	0,	7,	-2,	
13,	0,	0,	1,	8,	
14,	0,	1,	-7,	0,	
15,	0,	0,	3,	-7,	
16,	0,	-1,	6,	5,	
17,	0,	0,	-6,	5,	
18,	0,	0,	-3,	-7,	
19,	1,	0,	8,	-2,	
20,	0,	0,	0,	8,	
21,	0,	0,	-7,	-2,	
22,	0,	0,	5,	-6,	
23,	0,	0,	5,	6,	
24,	0,	0,	-6,	4,	
25,	0,	0,	-1,	-7,	
26,	0,	0,	8,	0,	
27,	-1,	0,	-2,	7,	
28,	0,	1,	-6,	-3,	
29,	0,	0,	5,	-6,	
30,	0,	0,	5,	7,	
31,	0,	0,	-7,	3,	
32,	1,	0,	-1,	-8,	
33,	1,	0,	8,	1,	
34,	0,	0,	-3,	8,	
35,	0,	0,	-6,	-4,	
36,	0,	0,	6,	-5,	
37,	0,	0,	2,	7,	
38,	1,	0,	-8,	1,	
39,	0,	0,	1,	-7,	
40,	0,	0,	8,	3,	
41,	0,	0,	-5,	6,	
42,	0,	0,	-5,	-6,	
43,	0,	0,	7,	-3,	
44,	0,	1,	1,	8,	
45,	0,	0,	-7,	0,	
46,	0,	0,	2,	-8,	
47,	0,	0,	7,	4,	
48,	0,	0,	-6,	5,	
49,	1,	1,	-3,	-7,	
50,	0,	1,	7,	-2,	
51,	0,	0,	0,	8,	
52,	0,	0,	-7,	-1,	
53,	0,	1,	3,	-7,	
54,	0,	0,	5,	5,	
55,	0,	0,	-7,	5,	
56,	0,	0,	-2,	-7,	
57,	0,	0,	7,	0,	
58,	0,	0,	-1,	8,	
